type,address,postcode,suburb,lat,lon,internal_postcode
Woolworths,CNR Naval College and The Wool Rd,Vincentia,2540,-35.07386,150.66643,3199
Woolworths,116 Princes Hwy,Ulladulla,2539,-35.35765,150.47418,3138
Woolworths,Cnr Vesper And North Sts,Batemans Bay,2536,-35.70842,150.17759,3063
Woolworths,111 Main Street,Merimbula,2548,-36.88638,149.90928,3244
Woolworths,Cnr Wilcocks Ave And Princes Hwy,Narooma,2546,-36.22248,150.12712,3236
Woolworths,Cnr of Auckland and Carp St,Bega,2550,-36.67394,149.84082,3258
Woolworths,61-63 Queen St,Moruya,2537,-35.91072,150.08157,3100
Woolworths,1-9 Young St,Bermagui,2546,-36.42747,150.07816,3227
Woolworths,Cnr Tura Beach Dr & Saphire Coast Dr,Tura Beach,2548,-36.85495,149.91881,3246
Woolworths,Cnr Roscoe St And Old Hume Hwy,Mittagong West,2575,-34.44578,150.46061,3422
Woolworths,9-13 Kinghorne St,Nowra,2541,-34.87364,150.60273,3213
Woolworths,Cnr Bong Bong Rd & Banyette St,Bowral,2576,-34.47946,150.41776,3432
Woolworths,"Kiama View Shop. Ctr, Terralong St",Kiama,2533,-34.66895,150.85227,3034
Woolworths,New Lake Entrance Rd,Shellharbour,2529,-34.56353,150.83167,3014
Woolworths,8-22 Weston St,Culburra Beach,2540,-34.93033,150.75624,3161
Woolworths,"Shellharbour Stocklands Centre, Lake Entrance Rd",Shellharbour,2529,-34.56672,150.83914,3014
Woolworths,100 Cove Boulevard,Shell Cove,2529,-34.58808,150.86591,3013
Woolworths,"Shop 2, Stockland Nowra Shop. Ctr, 32-60 East St",Nowra,2541,35.37981,-83.21104,3213
Woolworths,63 Burelli St,Wollongong,2500,-34.42707,150.89633,2947
Woolworths,"Stockland Corrimal Shop. Ctr, 193 Princes Hwy & Cnr Railway St",Corrimal,2518,-34.37318,150.89691,2976
Woolworths,Shellharbour Rd,Warilla,2528,-34.55136,150.86034,3006
Woolworths,"Dapto Mall, Cnr Princes Hwy And Moombara St",Dapto,2530,-34.4953,150.79331,3019
Woolworths,66 Princes Hwy,Fairy Meadow,2519,-34.39147,150.89343,2982
Woolworths,Cnr Terry & Russell St,Albion Park,2527,-34.57234,150.77335,2994
Woolworths,Cnr Victoria St And Princes H'Way,Unanderra,2526,-34.45616,150.84362,2993
Woolworths,Cnr Princess Hwy & Molloy St,Bulli,2516,-34.33711,150.91262,2971
Woolworths,Cnr Princes Hwy And The Ave,Figtree,2525,-34.43576,150.86127,2986
Woolworths,"Macarthur Sq Shop. Ctr, Cnr Gilchrist Dr And Kellicar Rd",Campbelltown,2560,-34.07371,150.80047,3338
Woolworths,Cnr Copperfield And Thomas Rose Drs,Rosemeadow,2560,-34.10024,150.79789,3347
Woolworths,"Narellan Town Centre, Camden VAlly Way",Narellan,2567,-34.04173,150.73167,3370
Woolworths,Cnr Oxley & Argyle St,Camden,2570,-34.055,150.69475,3379
Woolworths,271  Queen St,Campbelltown,2560,-34.06918,150.81033,3338
Woolworths,Cnr Rememberance Dr And Thirlmere Way,Tahmoor,2573,-34.22109,150.58618,3408
Woolworths,Cnr of Village Circuit & Gregory Hills Dr,Gregory Hills,2557,-34.02547,150.77634,3326
Woolworths,Cnr Tindall St And Kellicar And Narellan Rds,Campbelltown,2560,-34.07311,150.80361,3338
Woolworths,Main St,Mt Annan,2567,-34.04951,150.75787,3373
Woolworths,254 Richardson Rd,Spring Farm,2570,-34.06953,150.72883,3394
Woolworths,Oran Park Town Centre,Oran Park,2570,-34.01889,150.75076,3392
Woolworths,"Eagle Vale MarketPl, Cnr Gould And Feldspar Sts",Eagle Vale,2558,-34.03346,150.81684,3328
Woolworths,"Moorebank Shop. Vge, 136 Stockton Ave",Moorebank,2170,-33.93387,150.94817,783
Woolworths,607 Hume Hwy,Casula,2170,-33.95404,150.89701,775
Woolworths,"Westfield Shop. Ctr, Cnr Campbell & Northumberland St",Liverpool,2170,-33.91769,150.92341,779
Woolworths,Cnr Nardoo & Norfolk St,Ingleburn,2565,-34.0003,150.86481,3358
Woolworths,Cartwright Ave,Miller,2168,-33.91828,150.88212,773
Woolworths,"Shop 50, Glenquarie Shop. Ctr",Macquarie Fields,2564,-33.9869545046094,150.890737136762,3355
Woolworths,10 Brookfield Rd,Minto,2566,-34.02999,150.85001,3361
Woolworths,1975 - 1985 Camden Valley Way,Prestons,2170,-33.95216,150.85544,785
Woolworths,Cnr Cowpasture And Kurajong Rds,Carnes Hill,2171,-33.93574,150.84326,787
Woolworths,1 Dickson Pl,Dickson,2602,-35.24982,149.13878,3621
Woolworths,Cnr Crawford & Antill St,Queanbeyan,2620,-35.34974,149.2317,3723
Woolworths,Benjamin Way,Belconnen,2617,-35.24211,149.06761,3694
Woolworths,Cnr Sloane & Verner St,Goulburn,2580,-34.75756,149.71906,3485
Woolworths,Kippax Fair Hardwick Cres,Holt,2615,-35.22344,149.02042,3688
Woolworths,31 Hibberson St,Gungahlin,2912,-35.18534,149.134,5173
Woolworths,Cnr ShoobRdge Cct & Lance Hill Ave,Dunlop,2615,-35.19851,149.01987,3683
Woolworths,Charnwood Pl,Charnwood,2615,-35.20469,149.0326,3682
Woolworths,17 Limestone Dr,Jerrabomberra,2619,-35.37984,149.20069,3707
Woolworths,Majura Park Centre 28 Spitfire Ave,Majura,2609,-35.2588,149.1369,3649
Woolworths,Cnr Hindmarsh And Melrose Drs,Woden,2606,-35.34884,149.08406,3641
Woolworths,12-20 Vale St,Cooma,2630,-36.23327,149.1244,3846
Woolworths,"Calwell Shop. Ctr, Johnson Dr",Calwell,2905,-35.43337,149.10829,5162
Woolworths,Mawson Pl,Mawson,2607,-35.3655,149.09392,3644
Woolworths,Cnr Brierly And Mahoney Cres,Weston Creek,2611,-35.34058,149.05229,3668
Woolworths,Marconi Cres,Kambah,2902,-35.37849,149.05958,5152
Woolworths,"Tuggeranong Southpoint, Cnr Anketell & Reed St",Tuggeranong,2900,-35.37627,149.06924,5151
Woolworths,Comrie St,Wanniassa,2903,-35.40322,149.09934,5156
Woolworths,Cnr Tharwa Dr And Box Hill Ave,Conder,2906,-35.46145,149.09744,5169
Woolworths,"Shop 1, Nuggets Crossing",Jindabyne,2627,-36.36118,148.82983,3806
Woolworths,Cnr Banna Ave And Bonegilla Rd,Griffith,2680,-34.28905,146.05377,4158
Woolworths,Burrell Pl,Griffith North,2680,-34.28541,146.04414,4165
Woolworths,87 Baylis St,Wagga Wagga,2650,-35.11521,147.37125,4038
Woolworths,30 Gurwood St,Wagga Wagga,2650,-35.10637,147.36872,4038
Woolworths,Kooringal Mall Shop 41- 51 Lake Albert Rd,Kooringal,2650,-35.12409,147.37821,4020
Woolworths,Cnr Palm And Wamoon Ave,Leeton,2705,-34.55144,146.39202,4191
